工事名,開札日時,入札方式,参加数,決定金額,予定価格,最低制限価格,契約相手,工事種別,制限率
湊小学校職員室他改修工事,2023/5/12,事後審査型制限付一般競争入札,19,26500000,28880000,26498100,シンエスタ（株）,建築一般,0.918
舞子山手住宅２・３号棟緊急通報システム改修工事,2025/3/5,事後審査型制限付一般競争入札,13,36080000,39280000,36014700,東報サービス（株）,電気一般,0.917
新太山寺トンネル非常警報設備更新工事,2025/2/5,事後審査型制限付一般競争入札,6,57570000,57670000,52888900,コガセ工業（株）,電気一般,0.917
東白川特２高層配水場場内配管更新工事,2025/2/5,事後審査型制限付一般競争入札,7,460000000,500413000,459103300,（株）西原組,土木一般,0.917
岩屋北住宅照明設備改修工事,2025/1/24,事後審査型制限付一般競争入札,22,9851000,10730000,9836400,ケイテック（株）,電気一般,0.917
玉津処理場他浸水対策工事,2025/1/22,事後審査型制限付一般競争入札,9,33476000,36430000,33418300,（有）ＫＩＺＵＮＡ,建築一般,0.917
西部市場換気設備改修工事,2025/1/22,事後審査型制限付一般競争入札,1,15190000,16520000,15152400,（株）神戸総合設備,管一般,0.917
ピアハウス六甲１空調設備改修工事,2024/11/8,事後審査型制限付一般競争入札,7,7885000,8590000,7878200,（株）神戸総合設備,管一般,0.917
三宮北交差点改良工事（その２）,2024/10/4,事後審査型制限付一般競争入札,6,269850000,278195000,255226800,（株）山田工務店,土木一般,0.917
中央体育館スプリンクラーポンプ等消火設備更新工事,2024/6/14,事後審査型制限付一般競争入札,2,9086000,9770000,8960700,（株）圓奈,設備その他,0.917
奥平野低層配水本管整備工事その１,2024/3/6,事後審査型制限付一般競争入札,8,424000000,427200000,391748500,（株）西原組,土木一般,0.917
材木橋ライトアップ工事,2024/2/7,事後審査型制限付一般競争入札,14,34618000,37619000,34503800,（株）宮野電気商会,電気一般,0.917
神戸文化ホール発電機室換気設備改修工事,2023/11/8,事後審査型制限付一般競争入札,5,6597000,7180000,6585200,（有）メイテック,管一般,0.917
北（大沢町）配水管取替工事その２,2024/12/4,事後審査型制限付一般競争入札,15,265200000,288407000,264113700,北神吉田建設（株）,土木一般,0.916
春日台地域福祉センター屋根・外壁他改修工事,2024/10/2,事後審査型制限付一般競争入札,21,33477900,36540000,33454800,（株）堂脇工業所,建築一般,0.916
六甲アイランド５号上屋受変電設備更新工事,2024/9/4,事後審査型制限付一般競争入札,28,22138800,24150000,22132600,（株）ナカケン,電気専門,0.916
櫨谷川改修工事（福谷工区）その６,2024/8/23,事後審査型制限付一般競争入札,6,139000000,150211000,137562600,関西建設工業（株）,土木一般,0.916
垂水処理場市民開放用地整備工事,2024/6/5,事後審査型制限付一般競争入札,9,458000000,480700000,440532200,（株）山羽造園,造園一般,0.916
中央（加納町他）配水管新設取替工事,2024/4/24,事後審査型制限付一般競争入札,7,386425000,409692000,375257600,ソイル（株）,土木一般,0.916
磯上公園再整備工事,2023/9/8,事後審査型制限付一般競争入札,12,263900000,276307000,253087400,関西造園土木（株）,造園一般,0.916
御崎Ｕビル給湯設備更新工事,2023/4/26,事後審査型制限付一般競争入札,1,4489000,4520000,4138100,（有）金本設備工業,管一般,0.916
灘（都通他）低層連絡管取替工事,2025/3/5,事後審査型制限付一般競争入札,13,258780000,279316000,255535800,港建設（株）,土木一般,0.915
六甲アイランド７号上屋受変電設備更新工事,2024/9/11,事後審査型制限付一般競争入札,29,27228000,29730000,27203900,サン電設工業（株）,電気専門,0.915
御崎車庫ＩＴＶ設備更新工事,2024/8/7,事後審査型制限付一般競争入札,20,11070000,12090000,11067100,富岡受信システム（株）,電気一般,0.915
六甲アイランドＰＱバース照明設備他工事,2024/7/10,事後審査型制限付一般競争入札,38,19345000,21130000,19340600,有元温調（株）,電気一般,0.915
学が丘中層配水場有線テレメータ化工事,2024/6/7,事後審査型制限付一般競争入札,3,10725000,10725000,9815100,（株）大同電機製作所,電気専門,0.915
高丸小学校給水設備改修工事,2024/5/15,事後審査型制限付一般競争入札,2,6073000,6420000,5875800,（株）神戸総合設備,管一般,0.915
ポートアイランド中公園トイレ改修工事,2024/2/7,事後審査型制限付一般競争入札,11,20000000,21760000,19907600,リフォームトウラ（株）,建築一般,0.915
中央区神戸港地方再度谷法面対策工事（その２）,2024/1/31,事後審査型制限付一般競争入札,16,224200000,243273000,222584100,六神建設（有）,法面,0.915
西神・山手線　自動張力調整装置更新工事（その１）,2023/11/1,事後審査型制限付一般競争入札,3,8480000,9220000,8439000,西日本電気システム（株）,電気専門,0.915
霞ヶ丘学童保育コーナー整備電気設備工事,2023/8/4,事後審査型制限付一般競争入札,21,10575000,11550000,10563200,（株）日幸電商,電気一般,0.915
灘区民ホール空調設備更新工事,2023/7/7,事後審査型制限付一般競争入札,9,2968000,3240000,2965700,（株）神戸総合設備,管一般,0.915
東灘区総合庁舎雑用水ポンプ取替工事,2023/5/12,事後審査型制限付一般競争入札,7,4350000,4640000,4245000,共新工業（株）,管一般,0.915
垂水（神和台）配水管取替工事その６,2025/3/5,事後審査型制限付一般競争入札,28,239399000,262039000,239398500,（株）西原組,土木一般,0.914
東部在宅障害者福祉センターキュービクル改修工事,2025/2/7,事後審査型制限付一般競争入札,15,17409000,19030000,17393600,ケイテック（株）,電気一般,0.914
中央区神戸港地方再度谷法面対策工事（その３）,2025/2/5,事後審査型制限付一般競争入札,20,222300000,242361000,221552700,安場建設（株）,法面,0.914
ポートアイランドＲバース照明塔ＬＥＤ化他工事,2025/1/29,事後審査型制限付一般競争入札,26,22303000,24360000,22274700,マサニ電気（株）,電気一般,0.914
シルバーハイツ灘北住宅緊急通報システム改修工事,2024/12/6,事後審査型制限付一般競争入札,19,22860000,24850000,22712000,エムツウ（株）,電気一般,0.914
総合運動公園立体駐車場自動火災報知設備改修工事,2024/12/4,事後審査型制限付一般競争入札,11,11110000,12150000,11103300,（有）三谷テクノ,設備その他,0.914
総合療育センター給水・井水ポンプ設備他改修工事,2024/10/9,事後審査型制限付一般競争入札,5,6944000,7590000,6938100,（有）エス・ケー工業,管一般,0.914
小束山地域福祉センター外壁改修他工事,2024/10/2,事後審査型制限付一般競争入札,22,34880000,38050000,34790400,（株）建工１０１,建築一般,0.914
伊川改修工事（石戸工区）その４,2024/10/2,事後審査型制限付一般競争入札,13,113200000,123747000,113047400,（株）ゴショー,土木一般,0.914
中央体育館シャワー室改修工事,2024/9/11,事後審査型制限付一般競争入札,6,23693000,25600000,23404300,（株）木多工務店,建築一般,0.914
玉津処理場　４号汚泥供給ポンプ機械設備工事,2024/8/7,事後審査型制限付一般競争入札,4,8020000,8665000,7918900,鹿島環境エンジニアリング（株）,機械器具その他,0.914
兵庫区平野町天王谷法面対策工事,2024/2/7,事後審査型制限付一般競争入札,17,274970000,300263000,274324000,八雲建設（株）,法面,0.914
神戸リハビリテーション病院病棟サッシ改修工事,2023/10/13,事後審査型制限付一般競争入札,6,7510000,8210000,7501600,（株）丸強建設工業,建築専門,0.914
須磨海岸中央詰所増築工事,2023/9/1,事後審査型制限付一般競争入札,9,23500000,25420000,23234400,（有）岩本建築工房,建築一般,0.914
神戸複合産業団地　敷地整備工事,2023/8/4,事後審査型制限付一般競争入札,32,65913000,71499000,65350700,（有）喜多建材工業,土木一般,0.914
本山ポンプ場次亜塩注入設備更新工事,2023/8/2,事後審査型制限付一般競争入札,3,34340000,37568000,34320600,横手産業（株）,機械器具その他,0.914
兵庫（兵庫町他）配水管取替工事,2025/1/29,事後審査型制限付一般競争入札,26,240465700,263288000,240465700,山﨑建設（株）,土木一般,0.913
西山児童館外壁改修他工事,2024/12/4,事後審査型制限付一般競争入札,19,19630000,21480000,19609600,エムテック（株）,建築一般,0.913
旧多聞ひまわり幼稚園解体撤去工事,2024/6/12,事後審査型制限付一般競争入札,47,46682000,51120000,46666900,（株）スガモト建設,解体,0.913
小野柄地域福祉センター外壁他改修工事,2024/6/7,事後審査型制限付一般競争入札,16,27347200,29790000,27188400,（株）山野工務店,建築一般,0.913
三宮駐車場エレベーター棟他増築電気設備工事,2024/6/5,事後審査型制限付一般競争入札,21,22383000,24490000,22367500,（株）シンテック,電気一般,0.913
中央（神若通他）配水管新設取替工事,2024/5/17,事後審査型制限付一般競争入札,14,230001300,251813000,229999300,（株）村田建設,土木一般,0.913
からと中央住宅１号棟照明設備改修工事,2023/12/6,事後審査型制限付一般競争入札,19,5809000,6360000,5808900,（株）エス・イーワークス,電気一般,0.913
フレール長田室内住宅他１棟照明設備改修工事,2023/12/1,事後審査型制限付一般競争入札,15,4638000,5080000,4637500,（株）エス・イーワークス,電気一般,0.913
東灘第３低層配水管新設取替工事その２,2023/12/1,事後審査型制限付一般競争入札,10,226779000,248485000,226768900,三興建設（株）,土木一般,0.913
玉津処理場屋外照明改修工事,2023/8/2,事後審査型制限付一般競争入札,25,6692000,7330000,6688700,（株）木山電気,電気一般,0.913
神戸海洋博物館自動火災報知設備等更新工事,2023/8/2,事後審査型制限付一般競争入札,19,9982000,10930000,9975300,森電気工業（株）,設備その他,0.913
神戸空港造成及びその他整備工事（その１８）,2023/5/12,事後審査型制限付一般競争入札,3,426000000,451916000,412764100,日下部建設（株）,土木一般,0.913
長田（上池田）揚・送配水管取替工事,2025/2/5,事後審査型制限付一般競争入札,16,171455000,188040000,171453200,茂富建設（株）,土木一般,0.912
妙法寺川（車地区）改修工事その１０,2024/10/4,事後審査型制限付一般競争入札,6,95000000,95441000,87053400,（株）ＨＯＵＲＹＵ,土木一般,0.912
八坂川改修工事（その１）,2024/9/4,事後審査型制限付一般競争入札,11,100950000,107961000,98414200,北神吉田建設（株）,土木一般,0.912
西灘保育所空調改修工事,2024/7/5,事後審査型制限付一般競争入札,15,6029000,6590000,6010200,（株）大洋エンジニアリング,管一般,0.912
新港第１突堤基部プロムナード照明設備工事,2024/7/5,事後審査型制限付一般競争入札,39,9922000,10880000,9920700,（株）エス・イーワークス,電気一般,0.912
神戸空港造成及びその他整備工事（その１９）,2024/5/17,事後審査型制限付一般競争入札,4,341000000,366880000,334432300,日下部建設（株）,土木一般,0.912
西名大橋耐震補強・補修工事,2024/5/15,事後審査型制限付一般競争入札,10,328000000,338815000,309164100,日本ロード・メンテナンス（株）,ＰＣ,0.912
摩耶埠頭物揚場補修工事,2024/3/1,事後審査型制限付一般競争入札,13,117000000,120468000,109851500,茂富建設（株）,土木一般,0.912
魚崎浜第２ポンプ場高圧ケーブル他改修工事,2023/11/8,事後審査型制限付一般競争入札,6,6600000,6650000,6067600,松原電気工業（株）,電気一般,0.912
北（有野台９丁目）配水管取替工事,2025/2/5,事後審査型制限付一般競争入札,21,165317400,181502000,165315900,（株）建部,土木一般,0.911
星陵台保育所外壁改修他工事,2025/1/29,事後審査型制限付一般競争入札,9,47680000,50210000,45726300,新装工業（株）,建築一般,0.911
岡場公園法面防災対策工事,2025/1/29,事後審査型制限付一般競争入札,27,157900000,173449000,158096400,八雲建設（株）,法面,0.911
東多聞住宅３８号棟照明設備改修工事,2024/8/2,事後審査型制限付一般競争入札,38,8291000,9100000,8290500,（株）エス・イーワークス,電気一般,0.911
須磨（緑が丘）配水管取替工事Ｎｏ．３,2024/7/3,事後審査型制限付一般競争入札,18,169576400,186214000,169573000,久保田建設（株）,土木一般,0.911
鈴蘭台処理場屋上防水・外壁改修他工事,2024/6/7,事後審査型制限付一般競争入札,30,11203700,12290000,11202300,（株）磯辺建設,建築一般,0.911
東灘処理場他高所照明設備改修工事,2024/6/7,事後審査型制限付一般競争入札,42,11648000,12790000,11645800,マサニ電気（株）,電気一般,0.911
須磨（離宮前町他）配水管取替工事,2024/5/15,事後審査型制限付一般競争入札,13,196395000,215457000,196378500,（株）本多組,土木一般,0.911
令和６年度　名谷駅トイレ改修工事,2024/5/15,事後審査型制限付一般競争入札,11,32863000,35910000,32707100,アイプラック（株）,建築一般,0.911
東遊園地水景施設他整備工事,2024/5/10,事後審査型制限付一般競争入札,10,114000000,114377000,104230900,（株）丸山造園,造園一般,0.911
最終処分場仮設防災等単価契約工事,2024/3/6,単価契約,38,129394,142105,129394,（株）吉田組,土木一般,0.911
魚崎浜第２ポンプ場直流電源装置改修工事,2024/2/7,事後審査型制限付一般競争入札,14,6750000,7340000,6683400,（株）三宅電気工事,電気専門,0.911
浜御影地域福祉センター外壁改修他工事,2023/11/8,事後審査型制限付一般競争入札,21,14262000,15650000,14249700,（株）磯辺建設,建築一般,0.911
阪神沿北側線他街路築造工事（その７）,2023/11/8,事後審査型制限付一般競争入札,4,250500000,274854000,250459100,（株）友興組,土木一般,0.911
枝吉１丁目地区他汚水管改築更新工事,2023/11/1,事後審査型制限付一般競争入札,11,241800000,264841000,241273800,丸正建設（株）,土木その他,0.911
三宮バスターミナル待合室設備更新工事,2023/10/13,事後審査型制限付一般競争入札,4,3017000,3290000,2995900,（株）神成興業,電気一般,0.911
六甲アイランド道路嵩上げ工事（その６）,2023/10/6,事後審査型制限付一般競争入札,4,199580000,207504000,189017500,（株）本多組,土木一般,0.911
農村環境改善センター玄関前舗装改修他工事,2023/8/2,事後審査型制限付一般競争入札,11,13268000,14560000,13261800,（有）ＫＩＺＵＮＡ,建築一般,0.911
須磨（友が丘）配水管取替工事Ｎо．１,2023/7/5,事後審査型制限付一般競争入札,26,183242100,201188000,183240200,（株）神盟,土木一般,0.911
摩耶１突公衆便所改築工事,2023/4/21,事後審査型制限付一般競争入札,13,18185000,19940000,18175000,（有）ＫＩＺＵＮＡ,建築一般,0.911
箕谷ポンプ場床改修他工事,2023/4/21,事後審査型制限付一般競争入札,12,2626000,2870000,2614100,（株）しらかわ工芸社,建築一般,0.911
ポートアイランド（第２期）西緑地園路照明ＬＥＤ化工事,2024/11/8,事後審査型制限付一般競争入札,18,6511000,7150000,6507100,（株）エス・イーワークス,電気一般,0.91
天城通５丁目地区他汚水管改築工事,2024/8/23,事後審査型制限付一般競争入札,11,211300000,230839000,209962600,丸正建設（株）,土木その他,0.91
神戸箕谷線道路防災対策工事（その３）,2024/7/5,事後審査型制限付一般競争入札,32,180440000,198060000,180197400,八雲建設（株）,法面,0.91
神戸空港道路及びその他整備工事（その２）,2024/4/24,事後審査型制限付一般競争入札,30,132000000,143276000,130408900,（株）友興組,土木一般,0.91
清風公民館照明設備更新工事,2024/2/7,事後審査型制限付一般競争入札,20,4037000,4430000,4033400,（株）はなくま電工,電気一般,0.91
花隈町地区汚水管改築更新工事（その２）,2023/10/4,事後審査型制限付一般競争入札,24,193110000,211919000,192888100,アイワークス（株）,土木その他,0.91
神戸港港湾幹線道路料金所周辺舗装改良他工事,2023/9/8,事後審査型制限付一般競争入札,3,191100000,199239000,181365700,（株）住田建設,舗装,0.91
神戸三木線４車線化対応照明設備工事,2023/9/1,事後審査型制限付一般競争入札,16,5880000,6450000,5870800,（株）エス・イーワークス,電気一般,0.91
明石神戸宝塚線（カーブＮｏ．９４近傍）道路防災対策工事,2023/5/10,事後審査型制限付一般競争入札,21,194662800,209482000,190721900,松本建設（株）,法面,0.91
六甲山方面第５８号線歩道設置工事,2025/2/7,事後審査型制限付一般競争入札,11,147564000,147564000,134162400,（株）島田組,土木一般,0.909
名谷駅南ロータリー他整備工事,2025/1/29,事後審査型制限付一般競争入札,12,140500000,154375000,140348300,（株）ＫＳＫ,土木一般,0.909
ピアハウス六甲１屋上防水改修工事,2024/12/4,事後審査型制限付一般競争入札,32,5990000,6580000,5984000,（株）しらかわ工芸社,防水,0.909
ＨＡＴ神戸・灘の浜住宅外構改修工事,2024/11/8,事後審査型制限付一般競争入札,10,15842100,17430000,15840400,（株）磯辺建設,建築一般,0.909
南町１丁目地区他汚水管改築工事,2024/11/1,事後審査型制限付一般競争入札,32,171793000,188950000,171777100,大幸道路管理（株）,土木その他,0.909
井吹台児童館・井吹西児童館外壁改修他工事,2024/9/4,事後審査型制限付一般競争入札,29,23896600,26260000,23880200,（有）藤田建設工業,建築一般,0.909
垂水（福田１丁目他）配水管取替工事その１,2024/8/2,事後審査型制限付一般競争入札,17,124223300,136730000,124223200,（株）村田建設,土木一般,0.909
池上中央公園トイレ改築工事,2024/7/12,事後審査型制限付一般競争入札,8,26537000,29120000,26478200,（有）三興建設工業,建築一般,0.909
長田区文化センター空調用動力制御盤更新工事,2024/6/5,事後審査型制限付一般競争入札,9,8780000,8890000,8078300,（株）エス・イーワークス,電気一般,0.909
阪神沿北側線他街路築造工事（その８）,2024/6/5,事後審査型制限付一般競争入札,3,191598000,210308000,191263900,北浦建設（株）,土木一般,0.909
六甲有料道路１．２ｋｐ～１．８５ｋｐ落石対策工事,2024/5/17,事後審査型制限付一般競争入札,32,442800000,492889000,447956300,（株）山羽造園,法面,0.909
垂水（塩屋町）配水管取替工事,2024/4/19,事後審査型制限付一般競争入札,8,143890000,144352000,131215500,沼田建設工業（株）,土木一般,0.909
中山手通５丁目地区他汚水管改築更新工事,2024/2/2,事後審査型制限付一般競争入札,21,149379000,164099000,149140500,（株）黒済組,土木その他,0.909
五色山７丁目地区他汚水管耐震化工事,2024/1/31,事後審査型制限付一般競争入札,20,147371000,162084000,147368500,（株）ＪＡＣ,土木その他,0.909
筒井町３丁目地区他汚水管改築更新工事,2023/12/1,事後審査型制限付一般競争入札,21,160938000,177089000,160924100,（株）永川組建設,土木その他,0.909
六甲ケーブル下駅法面対策工事,2023/12/1,事後審査型制限付一般競争入札,20,114760200,126066000,114625700,緑建工業（株）,法面,0.909
ポートアイランド（第２期）西緑地改良工事,2023/12/1,事後審査型制限付一般競争入札,17,134400000,145713000,132522900,（株）丸山造園,造園一般,0.909
垂水（星陵台４丁目）配水管取替工事,2023/9/6,事後審査型制限付一般競争入札 合併入札,7,275900000,279657000,254346700,八雲建設（株）,土木一般,0.909
舞子墓園線側溝整備工事,2023/9/6,事後審査型制限付一般競争入札 合併入札,7,275900000,279657000,254346700,八雲建設（株）,土木一般,0.909
明石神戸宝塚線（２・９工区）道路防災対策工事,2023/5/12,事後審査型制限付一般競争入札,22,166437100,179717000,163373900,山崎建設（株）,法面,0.909
房王寺線街路築造工事（その７）,2023/5/10,事後審査型制限付一般競争入札 合併入札,2,281880000,282044000,256301100,港建設（株）,土木一般,0.909
房王寺線街路築造工事に伴う汚水管移設工事（その２）,2023/5/10,事後審査型制限付一般競争入札 合併入札,2,281880000,282044000,256301100,港建設（株）,土木一般,0.909
神戸ポートオアシス喫煙所設置工事,2023/4/19,事後審査型制限付一般競争入札,6,4199800,4600000,4180100,中村住建,建築一般,0.909
多聞台４丁目地区汚水管改築工事,2024/12/4,事後審査型制限付一般競争入札,30,149845000,165001000,149835400,松本建設（株）,土木その他,0.908
住吉宮町３丁目地区他汚水管改築工事,2024/12/4,事後審査型制限付一般競争入札,27,142800000,157154000,142734700,イノウエ道路管理（株）,土木その他,0.908
磯馴町２丁目地区他汚水管改築工事,2024/11/1,事後審査型制限付一般競争入札,30,146375300,161158000,146367300,（株）幸和道路管理,土木その他,0.908
北（東大池地区）配水管取替工事その２,2024/9/6,事後審査型制限付一般競争入札,18,104916700,115576000,104916100,北神吉田建設（株）,土木一般,0.908
マリンパーク駐車場嵩上げ工事,2024/8/2,事後審査型制限付一般競争入札,29,138650000,152386000,138334900,（株）前野組,土木一般,0.908
中落合８号線道路改良工事,2024/3/6,事後審査型制限付一般競争入札,7,139998000,140361000,127515300,（株）植信,土木一般,0.908
北（泉台中部地区）配水管取替工事その３,2024/3/6,事後審査型制限付一般競争入札,15,113820400,125404000,113820200,久保田建設（株）,土木一般,0.908
住吉宮町７丁目地区他汚水管改築更新工事,2024/3/1,事後審査型制限付一般競争入札,22,131338000,144666000,131332700,アイワークス（株）,土木その他,0.908
筑紫が丘１丁目地区他汚水管耐震化工事,2024/2/7,事後審査型制限付一般競争入札,24,119212000,131331000,119191700,（株）ナカバヤシ,土木その他,0.908
新港東埠頭道路改良工事,2024/2/2,事後審査型制限付一般競争入札,17,113770100,125294000,113729300,（株）ランドグリーン,土木一般,0.908
下谷上低区配水池施設整備工事,2024/1/31,事後審査型制限付一般競争入札,3,76908000,76908000,69806100,（株）ＨＯＵＲＹＵ,土木一般,0.908
村雨町５丁目地区他汚水管改築更新工事,2023/11/8,事後審査型制限付一般競争入札,29,128386000,141326000,128277900,協同建設（株）,土木その他,0.908
夢野白川線他１線舗装補修工事（その３）,2023/11/1,事後審査型制限付一般競争入札,4,140800000,147554000,133961600,田村建設（株）,舗装,0.908
戎町１丁目地区他汚水管改築更新工事,2023/9/8,事後審査型制限付一般競争入札,33,136076000,149853000,136071400,（株）金城組,土木その他,0.908
神戸明石線（西須磨地区）道路防災対策工事,2023/4/26,事後審査型制限付一般競争入札,27,137000000,149592000,135848300,（株）大野,法面,0.908
重池第二住宅照明設備改修工事,2025/1/22,事後審査型制限付一般競争入札,11,2813000,3090000,2804100,（株）三谷電気,電気一般,0.907
新在家２号雨水幹線改築工事,2024/9/4,事後審査型制限付一般競争入札,9,94323000,102316000,92826700,（株）トラストテクノ,土木その他,0.907
北野子局雷害対策工事,2024/8/9,事後審査型制限付一般競争入札,3,3540000,3744000,3395000,（株）シンテック,電気専門,0.907
東白川特２高層配水場電送ケーブル他仮設工事,2024/8/7,事後審査型制限付一般競争入札,17,15550000,17000000,15416500,（株）オールライト,電気一般,0.907
中央（熊内町他）配水管取替工事その２,2024/6/12,事後審査型制限付一般競争入札,17,102768300,113264000,102768200,（株）塩屋基礎,土木一般,0.907
洞川線道路防災対策工事,2024/6/5,事後審査型制限付一般競争入札,34,97888500,107395000,97379200,（株）マツモトエンジニアリング,法面,0.907
神戸駅南側駅前広場整備工事,2024/5/17,事後審査型制限付一般競争入札,8,68550000,75231000,68223300,藤原土木興業（株）,土木一般,0.907
桃山台４丁目地区他避難所下流汚水管耐震化工事,2024/4/24,事後審査型制限付一般競争入札,33,97216400,107131000,97136100,（株）永川組建設,土木その他,0.907
御影本町６丁目地区他汚水管改築更新工事,2024/3/6,事後審査型制限付一般競争入札,21,101637000,112104000,101635800,（株）中西組,土木その他,0.907
須磨ヨットハーバー周辺歩道整備工事（その２）,2023/12/1,事後審査型制限付一般競争入札,8,109760000,114839000,104199500,（株）永川組建設,土木一般,0.907
御影保育所外構改修他工事,2023/9/1,事後審査型制限付一般競争入札,7,26640000,28588000,25920000,（株）ナガシマ建築企画,土木一般,0.907
東灘（本山中町）配水管取替工事その５,2023/9/1,事後審査型制限付一般競争入札,10,106855000,117747000,106852500,兵庫奥栄建設（株）,土木一般,0.907
千苅浄水場予備系引込ケーブル更新工事,2023/8/4,事後審査型制限付一般競争入札,4,14554000,15681000,14215500,新電機工業（株）,電気専門,0.907
灘区箕岡通１丁目法面対策工事,2023/7/5,事後審査型制限付一般競争入札 合併入札,12,250000000,271157000,246060000,（株）合同建設,法面,0.907
灘特１高層配水場土砂災害対策工事,2023/7/5,事後審査型制限付一般競争入札 合併入札,12,250000000,271157000,246060000,（株）合同建設,法面,0.907
玉津南公民館体育室床改修他工事,2023/6/14,事後審査型制限付一般競争入札,9,6963000,7660000,6945400,（有）ＫＩＺＵＮＡ,建築一般,0.907
多井畑接合井土砂災害対策工事,2023/6/7,事後審査型制限付一般競争入札,19,87200000,93158000,84477700,福地建設（株）,法面,0.907
渦森台１号線道路防災対策工事,2023/5/17,事後審査型制限付一般競争入札,23,69300000,76175000,69079500,（株）大野,法面,0.907
岸地通４丁目地区他汚水管改築更新工事,2023/5/10,事後審査型制限付一般競争入札,27,115000000,116484000,105620100,（株）一剛組,土木その他,0.907
岩屋北町２丁目地区他汚水管改築工事,2025/2/5,事後審査型制限付一般競争入札,26,112169000,123752000,112145900,（株）コラボラボ,土木その他,0.906
六甲アイランドマリンパーク再整備工事（その２）,2024/11/1,事後審査型制限付一般競争入札,15,80900000,88893000,80499800,関西造園土木（株）,造園一般,0.906
水笠通３丁目地区他汚水管改築工事,2024/10/4,事後審査型制限付一般競争入札,31,120366000,132810000,120362100,（株）永川組建設,土木その他,0.906
神戸六甲線道路防災対策工事（カーブＮｏ．７～９・４３）,2024/7/10,事後審査型制限付一般競争入札,34,94748100,104529000,94748000,（株）中西組,法面,0.906
奥山川ポンプ場外壁改修他工事,2024/7/3,事後審査型制限付一般競争入札,22,7246000,7990000,7242300,ひまわり塗装（株）,建築一般,0.906
大津和１丁目地区他避難所下流汚水管耐震化工事,2024/5/10,事後審査型制限付一般競争入札,31,114886400,126364000,114538800,窪田工業（株）,土木その他,0.906
有野橋耐震補強補修工事,2024/5/10,事後審査型制限付一般競争入札,40,99193400,109430000,99173900,関西化工建設（株）,ＰＣ,0.906
灘（水車新田）配水管取替工事,2024/4/26,事後審査型制限付一般競争入札 合併入札,6,135000000,142113000,128692900,北神吉田建設（株）,土木一般,0.906
神戸六甲線（滝の下橋）改良工事,2024/4/26,事後審査型制限付一般競争入札 合併入札,6,135000000,142113000,128692900,北神吉田建設（株）,土木一般,0.906
令和６年度　下水道施設小規模工事（単価契約・兵庫・北）,2024/3/1,単価契約,5,50461,55695,50461,（株）中西組,土木一般,0.906
六甲アイランド地区岸壁改良工事その２,2023/11/1,事後審査型制限付一般競争入札,5,26570000,29322000,26570000,三建工業（株）,港湾土木,0.906
ポートアイランド南公園管理用通路整備工事,2023/10/13,事後審査型制限付一般競争入札,7,51950000,52635000,47667300,三好建設（株）,土木一般,0.906
岡本１丁目地区他汚水管改築更新工事,2023/6/7,事後審査型制限付一般競争入札,13,94697000,99498000,90104600,大幸道路管理（株）,土木その他,0.906
長田事業所外壁改修工事,2023/5/19,事後審査型制限付一般競争入札,17,3990000,4390000,3976200,（株）清水工務店,建築一般,0.906
令和５年度布施畑トンネル非常電話設備更新工事,2023/5/12,事後審査型制限付一般競争入札,4,2362000,2590000,2346100,（株）東栄,電気一般,0.906
北神線谷上指令所設備撤去工事,2025/1/22,事後審査型制限付一般競争入札,3,8050000,8690000,7862800,日本テクトス（株）,電気通信,0.905
神戸複合産業団地１号ダム濁水処理施設撤去工事,2024/11/8,事後審査型制限付一般競争入札,31,39098400,43194000,39098300,三好建設（株）,解体,0.905
筒井町２丁目地区他汚水管改築工事,2024/10/2,事後審査型制限付一般競争入札,29,98997000,109226000,98900700,（株）ジンテック,土木その他,0.905
４号ダム濁水処理施設撤去及び駐車場整備工事,2024/7/3,事後審査型制限付一般競争入札,51,39284600,43394000,39284600,スミタ,土木一般,0.905
若松町９丁目地区他汚水管改築工事,2024/6/5,事後審査型制限付一般競争入札,32,84675000,93552000,84671300,（株）森組,土木その他,0.905
三宮歩行者用デッキ整備に伴う汚水管移設工事,2024/5/15,事後審査型制限付一般競争入札,6,108500000,109708000,99274100,（株）ＨＯＵＲＹＵ,土木一般,0.905
甲南町２丁目地区他汚水管改築工事,2024/4/26,事後審査型制限付一般競争入札,33,94264000,104146000,94260400,（株）ＮＳフォスター,土木その他,0.905
西（伊川谷町有瀬）送配水管更新工事,2023/12/1,事後審査型制限付一般競争入札,4,103000000,104231000,94351600,（株）森川工務店,土木一般,0.905
北（青葉台）配水管取替工事その５,2023/8/4,事後審査型制限付一般競争入札,22,61454600,67873000,61453700,沼田建設工業（株）,土木一般,0.905
垂水（旭が丘１丁目他）配水管取替工事その２,2023/7/7,事後審査型制限付一般競争入札,15,79034900,87292000,79033700,沼田建設工業（株）,土木一般,0.905
泉台地区他雨水幹線改修工事,2025/2/7,事後審査型制限付一般競争入札,29,114000000,126051000,113995800,マハロカンパニー,土木その他,0.904
武庫川水管橋塗装他工事,2024/11/8,事後審査型制限付一般競争入札,13,57391500,63460000,57391500,（株）ウェイズ,塗装,0.904
三宮中央通り地下通路ベンチ設置工事,2024/11/1,事後審査型制限付一般競争入札,15,9206600,10180000,9200100,福地建設（株）,土木一般,0.904
新港第１突堤基部プロムナード整備工事,2024/4/17,事後審査型制限付一般競争入札,26,74234300,82158000,74234300,石坂建設（株）,土木一般,0.904
